MSSubClass,LotFrontage,LotArea,Utilities,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fire0laces,GarageCars,GarageArea,0avedDrive,WoodDeckSF,O0en0orchSF,Enclosed0orch,ThreeSsn0orch,Screen0orch,0oolArea,0oolQC,MiscVal,MoSold,YrSold,SalePrice
60.0,85.0,11924.0,1.0,9.0,5.0,2005.0,2006.0,286.0,998.0,0.0,177.0,1175.0,1.0,1.0,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,11.0,2.0,3.0,736.0,1.0,147.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,345000.0
20.0,0.0,12968.0,1.0,5.0,6.0,1962.0,1962.0,0.0,737.0,0.0,175.0,912.0,1.0,1.0,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,352.0,1.0,140.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,9.0,2008.0,144000.0
20.0,91.0,10652.0,1.0,7.0,5.0,2006.0,2007.0,306.0,0.0,0.0,1494.0,1494.0,1.0,1.0,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,3.0,840.0,1.0,160.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,279500.0
20.0,0.0,10920.0,1.0,6.0,5.0,1960.0,1960.0,212.0,733.0,0.0,520.0,1253.0,1.0,1.0,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,352.0,1.0,0.0,213.0,176.0,0.0,0.0,0.0,0.0,0.0,5.0,2008.0,157000.0
45.0,51.0,6120.0,1.0,7.0,8.0,1929.0,2001.0,0.0,0.0,0.0,832.0,832.0,1.0,1.0,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,576.0,1.0,48.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,132000.0
20.0,0.0,11241.0,1.0,6.0,7.0,1970.0,1970.0,180.0,578.0,0.0,426.0,1004.0,1.0,1.0,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,2.0,480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,3.0,2010.0,149000.0
90.0,72.0,10791.0,1.0,4.0,5.0,1967.0,1967.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,0.0,2.0,516.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,10.0,2006.0,90000.0
20.0,66.0,13695.0,1.0,5.0,5.0,2004.0,2004.0,0.0,646.0,0.0,468.0,1114.0,1.0,1.0,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,6.0,0.0,2.0,576.0,1.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,159000.0
20.0,70.0,7560.0,1.0,5.0,6.0,1958.0,1965.0,0.0,504.0,0.0,525.0,1029.0,1.0,1.0,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,1.0,294.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2009.0,139000.0
60.0,101.0,14215.0,1.0,8.0,5.0,2005.0,2006.0,380.0,0.0,0.0,1158.0,1158.0,1.0,1.0,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,9.0,1.0,3.0,853.0,1.0,240.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,325300.0
45.0,57.0,7449.0,1.0,7.0,7.0,1930.0,1950.0,0.0,0.0,0.0,637.0,637.0,1.0,1.0,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,1.0,280.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,139400.0
20.0,75.0,9742.0,1.0,8.0,5.0,2002.0,2002.0,281.0,0.0,0.0,1777.0,1777.0,1.0,1.0,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2.0,534.0,1.0,171.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,230000.0
120.0,44.0,4224.0,1.0,5.0,7.0,1976.0,1976.0,0.0,840.0,0.0,200.0,1040.0,1.0,1.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,2.0,572.0,1.0,100.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,129900.0
20.0,0.0,8246.0,1.0,5.0,8.0,1968.0,2001.0,0.0,188.0,668.0,204.0,1060.0,1.0,1.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,1.0,270.0,1.0,406.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,154000.0
20.0,110.0,14230.0,1.0,8.0,5.0,2007.0,2007.0,640.0,0.0,0.0,1566.0,1566.0,1.0,1.0,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,3.0,890.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,256300.0
20.0,98.0,11478.0,1.0,8.0,5.0,2007.0,2008.0,200.0,1218.0,0.0,486.0,1704.0,1.0,1.0,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,3.0,772.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,306000.0
20.0,47.0,16321.0,1.0,5.0,6.0,1957.0,1997.0,0.0,1277.0,0.0,207.0,1484.0,1.0,1.0,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,6.0,2.0,1.0,319.0,1.0,288.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,207500.0
30.0,60.0,6324.0,1.0,4.0,6.0,1927.0,1950.0,0.0,0.0,0.0,520.0,520.0,1.0,0.0,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,240.0,1.0,49.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,5.0,2008.0,68500.0
70.0,50.0,8500.0,1.0,4.0,4.0,1920.0,1950.0,0.0,0.0,0.0,649.0,649.0,1.0,0.0,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,1.0,250.0,0.0,0.0,54.0,172.0,0.0,0.0,0.0,0.0,0.0,7.0,2008.0,40000.0
20.0,0.0,8544.0,1.0,5.0,6.0,1966.0,2006.0,0.0,0.0,0.0,1228.0,1228.0,1.0,1.0,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,0.0,1.0,271.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,149350.0
20.0,85.0,11049.0,1.0,8.0,5.0,2007.0,2007.0,0.0,0.0,0.0,1234.0,1234.0,1.0,1.0,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,2.0,484.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,179900.0
120.0,60.0,7313.0,1.0,9.0,5.0,2005.0,2005.0,246.0,1153.0,0.0,408.0,1561.0,1.0,1.0,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,2.0,556.0,1.0,203.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,277500.0
60.0,108.0,13418.0,1.0,8.0,5.0,2004.0,2005.0,132.0,0.0,0.0,1117.0,1117.0,1.0,1.0,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4.0,1.0,9.0,1.0,3.0,691.0,1.0,113.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2006.0,309000.0
20.0,112.0,10859.0,1.0,5.0,5.0,1994.0,1995.0,0.0,0.0,0.0,1097.0,1097.0,1.0,1.0,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,0.0,2.0,672.0,1.0,392.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,145000.0
20.0,68.0,7922.0,1.0,5.0,7.0,1953.0,2007.0,0.0,731.0,0.0,326.0,1057.0,1.0,1.0,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,246.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,109000.0
90.0,65.0,6040.0,1.0,4.0,5.0,1955.0,1955.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,82000.0
20.0,84.0,8658.0,1.0,6.0,5.0,1965.0,1965.0,101.0,643.0,0.0,445.0,1088.0,1.0,1.0,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,3.0,1.0,6.0,1.0,2.0,440.0,1.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,160000.0
85.0,0.0,9180.0,1.0,5.0,7.0,1983.0,1983.0,0.0,747.0,93.0,0.0,840.0,1.0,1.0,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,504.0,1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2007.0,144000.0
20.0,0.0,9200.0,1.0,5.0,6.0,1975.0,1980.0,0.0,280.0,491.0,167.0,938.0,1.0,1.0,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,308.0,1.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2008.0,130250.0
20.0,70.0,7945.0,1.0,5.0,6.0,1959.0,1959.0,0.0,179.0,506.0,465.0,1150.0,1.0,1.0,1150.0,0.0,0.0,1150.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,1.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0,141000.0
120.0,61.0,7658.0,1.0,9.0,5.0,2005.0,2005.0,412.0,456.0,0.0,1296.0,1752.0,1.0,1.0,1752.0,0.0,0.0,1752.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,2.0,576.0,1.0,196.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2010.0,319900.0
50.0,48.0,12822.0,1.0,7.0,5.0,2003.0,2003.0,0.0,1351.0,0.0,83.0,1434.0,1.0,1.0,1518.0,631.0,0.0,2149.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,670.0,1.0,168.0,43.0,0.0,0.0,198.0,0.0,0.0,0.0,8.0,2009.0,239686.0
20.0,84.0,11096.0,1.0,8.0,5.0,2006.0,2006.0,0.0,24.0,0.0,1632.0,1656.0,1.0,1.0,1656.0,0.0,0.0,1656.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,3.0,826.0,1.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,249700.0
190.0,33.0,4456.0,1.0,4.0,5.0,1920.0,2008.0,0.0,0.0,0.0,736.0,736.0,1.0,1.0,736.0,716.0,0.0,1452.0,0.0,0.0,2.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,113000.0
20.0,66.0,7742.0,1.0,5.0,7.0,1966.0,1966.0,0.0,763.0,0.0,192.0,955.0,1.0,1.0,955.0,0.0,0.0,955.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,1.0,386.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2007.0,127000.0
50.0,52.0,6240.0,1.0,6.0,6.0,1934.0,1950.0,0.0,0.0,0.0,816.0,816.0,1.0,1.0,816.0,0.0,360.0,1176.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,2.0,528.0,1.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,9.0,2006.0,114500.0
90.0,110.0,8472.0,1.0,5.0,5.0,1963.0,1963.0,0.0,104.0,712.0,0.0,816.0,1.0,0.0,816.0,0.0,0.0,816.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,516.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,110000.0
20.0,68.0,50271.0,1.0,9.0,5.0,1981.0,1987.0,0.0,1810.0,0.0,32.0,1842.0,1.0,1.0,1842.0,0.0,0.0,1842.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,3.0,894.0,1.0,857.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,385000.0
80.0,60.0,7134.0,1.0,5.0,5.0,1955.0,1955.0,0.0,384.0,0.0,0.0,384.0,1.0,1.0,1360.0,0.0,0.0,1360.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,2.0,572.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2007.0,130000.0
20.0,100.0,10175.0,1.0,6.0,5.0,1964.0,1964.0,272.0,490.0,0.0,935.0,1425.0,1.0,1.0,1425.0,0.0,0.0,1425.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2.0,576.0,1.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,7.0,2008.0,180500.0
160.0,24.0,2645.0,1.0,8.0,5.0,1999.0,2000.0,456.0,649.0,0.0,321.0,970.0,1.0,1.0,983.0,756.0,0.0,1739.0,1.0,0.0,2.0,1.0,3.0,1.0,7.0,0.0,2.0,480.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009.0,172500.0
60.0,89.0,11645.0,1.0,7.0,5.0,2004.0,2004.0,0.0,0.0,0.0,860.0,860.0,1.0,1.0,860.0,860.0,0.0,1720.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,0.0,2.0,565.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2006.0,196500.0
60.0,66.0,13682.0,1.0,10.0,5.0,2006.0,2006.0,1031.0,0.0,0.0,1410.0,1410.0,1.0,1.0,1426.0,1519.0,0.0,2945.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0,1.0,3.0,641.0,1.0,192.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,10.0,2006.0,438780.0
20.0,60.0,7200.0,1.0,5.0,7.0,1972.0,1972.0,0.0,632.0,0.0,148.0,780.0,1.0,1.0,780.0,0.0,0.0,780.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,352.0,1.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,124900.0
20.0,63.0,13072.0,1.0,6.0,5.0,2004.0,2004.0,0.0,941.0,0.0,217.0,1158.0,1.0,1.0,1158.0,0.0,0.0,1158.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,0.0,2.0,576.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0,158000.0
75.0,60.0,7200.0,1.0,5.0,7.0,1920.0,1996.0,0.0,0.0,0.0,530.0,530.0,1.0,0.0,581.0,530.0,0.0,1111.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,1.0,288.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,3.0,2007.0,101000.0
120.0,44.0,6442.0,1.0,8.0,5.0,2006.0,2006.0,178.0,24.0,0.0,1346.0,1370.0,1.0,1.0,1370.0,0.0,0.0,1370.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,2.0,484.0,1.0,120.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2007.0,202500.0
70.0,50.0,10300.0,1.0,7.0,6.0,1921.0,1950.0,0.0,0.0,0.0,576.0,576.0,1.0,1.0,902.0,808.0,0.0,1710.0,0.0,0.0,2.0,0.0,3.0,1.0,9.0,0.0,2.0,480.0,1.0,12.0,11.0,64.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,140000.0
60.0,0.0,9375.0,1.0,7.0,5.0,1997.0,1998.0,573.0,739.0,0.0,318.0,1057.0,1.0,1.0,1057.0,977.0,0.0,2034.0,1.0,0.0,2.0,1.0,3.0,1.0,8.0,0.0,2.0,645.0,1.0,576.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2009.0,219500.0
60.0,76.0,9591.0,1.0,8.0,5.0,2004.0,2005.0,344.0,0.0,0.0,1143.0,1143.0,1.0,1.0,1143.0,1330.0,0.0,2473.0,0.0,0.0,2.0,1.0,4.0,1.0,9.0,1.0,3.0,852.0,1.0,192.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2007.0,317000.0
20.0,0.0,19900.0,1.0,7.0,5.0,1970.0,1989.0,287.0,912.0,0.0,1035.0,1947.0,1.0,1.0,2207.0,0.0,0.0,2207.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2.0,576.0,1.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2010.0,180000.0
20.0,72.0,10665.0,1.0,7.0,5.0,2003.0,2003.0,167.0,1013.0,0.0,440.0,1453.0,1.0,1.0,1479.0,0.0,0.0,1479.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,2.0,558.0,1.0,144.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,226000.0
30.0,47.0,4608.0,1.0,4.0,6.0,1945.0,1950.0,0.0,0.0,0.0,747.0,747.0,1.0,1.0,747.0,0.0,0.0,747.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,80000.0
50.0,81.0,15593.0,1.0,7.0,4.0,1953.0,1953.0,0.0,603.0,0.0,701.0,1304.0,0.0,1.0,1304.0,983.0,0.0,2287.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2.0,667.0,1.0,0.0,21.0,114.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,225000.0
20.0,95.0,13651.0,1.0,7.0,6.0,1973.0,1973.0,1115.0,1880.0,0.0,343.0,2223.0,1.0,1.0,2223.0,0.0,0.0,2223.0,1.0,0.0,2.0,0.0,3.0,1.0,8.0,2.0,2.0,516.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2007.0,244000.0
20.0,69.0,7599.0,1.0,4.0,6.0,1982.0,2006.0,0.0,565.0,0.0,280.0,845.0,1.0,1.0,845.0,0.0,0.0,845.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,129500.0
60.0,74.0,10141.0,1.0,7.0,5.0,1998.0,1998.0,40.0,0.0,0.0,832.0,832.0,1.0,1.0,885.0,833.0,0.0,1718.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,2.0,427.0,1.0,0.0,94.0,0.0,0.0,291.0,0.0,0.0,0.0,12.0,2009.0,185000.0
20.0,85.0,10200.0,1.0,5.0,7.0,1954.0,2003.0,104.0,320.0,362.0,404.0,1086.0,1.0,1.0,1086.0,0.0,0.0,1086.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,2.0,490.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,144900.0
50.0,60.0,5790.0,1.0,3.0,6.0,1915.0,1950.0,0.0,0.0,0.0,840.0,840.0,1.0,0.0,840.0,765.0,0.0,1605.0,0.0,0.0,2.0,0.0,3.0,2.0,8.0,0.0,1.0,379.0,1.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,107400.0
180.0,21.0,1596.0,1.0,4.0,5.0,1973.0,1973.0,0.0,462.0,0.0,0.0,462.0,1.0,1.0,526.0,462.0,0.0,988.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,1.0,297.0,1.0,120.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2009.0,91000.0
20.0,0.0,8475.0,1.0,4.0,7.0,1956.0,1956.0,0.0,228.0,0.0,724.0,952.0,1.0,1.0,952.0,0.0,0.0,952.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,283.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,135750.0
50.0,50.0,8635.0,1.0,5.0,5.0,1948.0,2001.0,0.0,336.0,41.0,295.0,672.0,1.0,1.0,1072.0,213.0,0.0,1285.0,1.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,1.0,240.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,127000.0
90.0,72.0,10778.0,1.0,4.0,5.0,1968.0,1968.0,0.0,0.0,0.0,1768.0,1768.0,1.0,0.0,1768.0,0.0,0.0,1768.0,0.0,0.0,2.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,136500.0
50.0,60.0,10440.0,1.0,5.0,6.0,1910.0,1981.0,0.0,0.0,0.0,440.0,440.0,1.0,1.0,682.0,548.0,0.0,1230.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,2.0,440.0,1.0,74.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,5.0,2009.0,110000.0
60.0,100.0,13000.0,1.0,6.0,6.0,1968.0,1968.0,576.0,448.0,0.0,448.0,896.0,1.0,1.0,1182.0,960.0,0.0,2142.0,0.0,0.0,2.0,1.0,4.0,1.0,8.0,1.0,1.0,509.0,1.0,0.0,72.0,0.0,0.0,252.0,0.0,0.0,0.0,6.0,2009.0,193500.0
120.0,32.0,4500.0,1.0,6.0,5.0,1998.0,1998.0,443.0,1201.0,0.0,36.0,1237.0,1.0,1.0,1337.0,0.0,0.0,1337.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,0.0,2.0,405.0,1.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2006.0,153500.0
20.0,78.0,10206.0,1.0,8.0,5.0,2007.0,2007.0,468.0,33.0,0.0,1530.0,1563.0,1.0,1.0,1563.0,0.0,0.0,1563.0,0.0,0.0,2.0,0.0,3.0,1.0,6.0,1.0,3.0,758.0,1.0,144.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2008.0,245000.0
20.0,80.0,8892.0,1.0,5.0,5.0,1960.0,1960.0,66.0,0.0,0.0,1065.0,1065.0,1.0,1.0,1065.0,0.0,0.0,1065.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,0.0,2.0,461.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,126500.0
